"brand","company","category","source_section","product_name_original","model_original","specifications_original","voltage_hertz_power_original","product_size_original","packing_information_original","loading_quantity_original","image_path","slug","source_page"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","5L Air Fryer","YJAF804JW","Color panel
with viewing window
Plastic body with S/S cecoration
Detachable non stick drawer
Frying plate
Witih overheat protection
90 min timer automatically shut off
40200 degrees fordifforent rocipes","220-240V~50/60Hz 1500W","","","612 pcs / 20' GP
1512 pcs / 40' GP
1862 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf804jw.webp","shanwu-yjaf804jw","65"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","7L Air Fryer","YJAF809D","Color paneland viewing wincow
P astic body with S/S decoration
Detachable non-stick drawer
Frying p ate
With overheal protection
90 min timer automatically shut off
40200 degrees for cifferent recipes","220-240V~50/60Hz 1600W","","","450 pcs / 20' GP
1386 pcs / 40' GP
1340 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf809d.webp","shanwu-yjaf809d","65"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","7L Air Fryer","YJAF810EW","Color pane and viewing window
Plastic body with S/S decoration
Detachab e nonstick drawer
Frying plate
With overheat protection
90 min timer automatica ly shut off
40-200 degrees for different recipe","220-240V~50/60Hz 1600W","","","450 pcs / 20' GP
1386 pcs / 40' GP
1340 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf810ew.webp","shanwu-yjaf810ew","66"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","7L Air Fryer","YJAF812EW","Color panel anc viewing window
Plastic body with S/S decoration
Detachable non—stick drawer
Frying plate
With overheat protection
90 min timer automatically shut off
40-200 degrees for different recipes","220-240V~50/60Hz 1600W","","","450 pcs / 20' GP
1386 pcs / 40' GP
1340 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf812ew.webp","shanwu-yjaf812ew","66"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","8L Air Fryer","YJAF813EW","Plastic or metal innercavilty for optional
Single or dualheating element for optional
Working time: 060mins
Working temp:80℃ 200℃
Overheating temperature protection
Stainless steelcecoration bocy
With visiole wincow","220-240V~50/60Hz 1500W","","","1050 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf813ew.webp","shanwu-yjaf813ew","66"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","8L Air Fryer","YJAF814EW","Plastic ormetaliner cavity for optional
Single or dual heating e ement for ootional
Working time: 060mins
Workingtemp:80°℃ 200℃
Overheating temperature protection
Stain ess steeldecoration bocy
With visible window","220-240V~50/60Hz 1700W","","","1050 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf814ew.webp","shanwu-yjaf814ew","66"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","8L Air Fryer","YJAF815EW","Plastic or metal inner cavily for optional
Single or cua heating elementfor optional
Working time: 060mins
Working temp:80℃ 200℃
Overheating temperature protection
Stainless steel decoration body
With visible window","220-240V~50/60Hz 1700W","","","1050 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf815ew.webp","shanwu-yjaf815ew","67"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","8L Air Fryer","YJAF816EW","Plastic or melalinner cavity for optional
Sing e or dual heating element for ootional
Working time: 060mins
Workingtemp: 80°℃ 200℃
Overheating temperature protection
Stainless steel decoration bocly
With visible window","220-240V~50/60Hz 1700W","","","1050 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf816ew.webp","shanwu-yjaf816ew","67"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","8L Air Fryer","YJAF817EW","Plastic or metal inner cavily for optiona
Single orcual heating elementfor optiona
Working time: 060mins
Working temp: 80°℃ 200℃
Overheating temperature protection
Stainless steel decoration body
With visible window","220-240V~50/60Hz 1700W","","","1050 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf817ew.webp","shanwu-yjaf817ew","67"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","8L Air Fryer","YJAF818EW","Plastic ormetaliner cavity for optional
Single or dual heating e ement for optional
Working time: 060mins
Workingtemp:80°℃ 200℃
Overheating temperature protection
Stain ess steeldecoration bocy
With visible wincow","220-240V~50/60Hz 1700W","","","1050 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf818ew.webp","shanwu-yjaf818ew","67"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","8L Air Fryer","YJAF811EW","Capacily: 4L+4L
Plastic or metal inner cavity for optiona
Working time: 0-60mins
Working temp: 80℃ -200℃
Overheating tomperature protection
Stainless stee decoration body","220-240V~50/60Hz 1000W+1000W","","","840 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf811ew.webp","shanwu-yjaf811ew","68"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","8L Air Fryer","YJAF819EW","Capacily: 4L+4L
Plastic or metal inner cavity for optional
Working time: 060mins
Working temp: 80℃-200℃
Overheating tomperature protection
Stainless steel decoration bocy","220-240V~50/60Hz 1000W+1000W","","","840 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf819ew.webp","shanwu-yjaf819ew","68"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","8L Air Fryer","YJAF820EW","Capacily: 4L+4L
Plastic or metal inner cavity for optional
Working tirme: 0-60mins
Working temp: 80'℃ -200°℃
Overheating temporature protection
Stainless steel decoration body
With visible window","220-240V~50/60Hz 1000W+ 1000W","","","840 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf820ew.webp","shanwu-yjaf820ew","68"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","8L Air Fryer","YJAF821EW","Capacily: 4L+4L
Plastic or metal inner cavity for optional
Working timo: 0-60mins
Working temp: 80'C-200°℃
Overheating tomperature protection
Stainless steel cecoration body
With visible wincow","220-240V~50/60Hz 1000W+ 1000W","","","840 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf821ew.webp","shanwu-yjaf821ew","68"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","8L Air Fryer","YJAF822E","Capacily: 4L+4L
Plastic or metal inner cavity for optiona
Working time: 0-60mins
Working temp: 80℃ -200℃
Overheating tomperature protection
Stainless stee decoration body","220-240V~50/60Hz 1000W+1000W","","","840 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf822e.webp","shanwu-yjaf822e","69"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","8L Air Fryer","YJAF822EW","Capacily: 4L+4L
Plastic or metal inner cavity for optional
Working time: 0-60mins
Working temp: 80'C -200°℃
Overheating temporature protection
Stainless steel decoration body
With visin e window","220-240V~50/60Hz 1000W+1000W","","","840 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf822ew.webp","shanwu-yjaf822ew","69"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","10L Air Fryer","YJAF823EW","Metal inner cavity
Working time: 0-60mins
Working temp: 80℃-200℃
Overheating temperature protection
Stain ess steel decoration body
With visible window","220-240V~50/60Hz 1750W","","","960 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf823ew.webp","shanwu-yjaf823ew","69"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Air Fryer","10L Air Fryer","YJAF824EW","Metal inner cavity
Working time: 0-60mins
Working temp: 80°℃-200°℃
Overheating temoerature protection
Stain ess steel decoration body
With visible window","220-240V~50/60Hz 1750W","","","960 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf824ew.webp","shanwu-yjaf824ew","69"
"SHANWU","宁波山雾科技有限公司","Kitchen Appliances","Pizza Maker","4L PIZZA MAKER","YJAF825EW","Working time: 0- 12hour
Working temp: 40℃230℃
Overheating temperature protection","220-240V~50/60Hz 1700+500W","","","1200 pcs / 40' HQ","/catalog/kitchen-2025/shanwu-yjaf825ew.webp","shanwu-yjaf825ew","70"
